"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30"
"FT543_Zluteus",-11.2344389683567,1.19292712277725,-1.39736427301523,-0.478685383170117,0.0672072949690849,-5.20993033275835,1.33899247592199,-2.68573270771646,5.97035090056333,-2.68276144599669,3.78302969235164,2.10949298194019,-2.62544501103604,4.86608775794419,4.0779656118553,-0.306050724160094,-0.139639632500587,-0.0484182988963287,0.023856267579984,0.00885407755943801,-0.217873081647302,0.0348752519642201,-0.173534935254525,0.0320054538245889,0.00653672111961304,-0.16239234023113,0.224398495545796,0.0415271692254377,0.168494758615007,0.034750823487483
"DMNS8635_Zluteus",-11.9605289488612,0.982917004301661,-1.39299923166637,-0.884063544843103,-0.350325140211974,-5.95859439820105,1.58588181511698,-1.91617383595453,3.08139815228658,0.933304859156614,3.52027685601029,-1.95646339637121,4.95561423357294,-4.23049824158904,-5.55822396037848,-0.0562397935810934,0.747853943730769,-0.297411021024749,-0.0649695550480283,0.0166354901363733,0.13526019994468,-0.100546664639517,0.020093847187421,-0.290181905170645,-0.0051839453651637,0.108584734826468,0.104277433114905,-0.239085429464852,0.0661970429354129,0.149575606179383
"DMNS8633_Zluteus",-11.5732708041264,1.30697760135974,-1.54048795877407,-0.568603402038529,-0.246413758519154,-5.66986919491198,1.43799572740752,-1.99902660935716,-6.98163633335533,-6.5822104229304,-3.73932355020208,-2.57691595196791,0.339376672562147,0.49064672376004,0.781093876902276,0.0482532431094643,-0.185362054124016,-0.318492630330951,-0.182314470311765,0.388936729681965,0.156778200732684,0.0661119685167529,0.0868429199939551,-0.195402224830989,0.196571910718086,0.270794298658023,-0.348454320708244,0.0171068976507472,-0.141260525494091,0.0757690100292211
"DMNS8636_Zluteus",-11.5200684944157,1.16487655133904,-1.78636541551865,-0.912524667662864,-0.736535979580721,-4.93266151494431,1.69711950321052,-1.25745870387569,-1.91419721378411,8.73234206233355,-4.50426471308445,3.09059349354769,-2.32902525216946,-0.225049925341872,0.782674212319028,0.20745024571654,-0.0712560237040721,0.212725347161206,-0.0285284112780417,-0.766232645355039,-0.485646631102767,0.0278183355911457,0.0067286486256109,0.10468263108894,-0.514326257106144,-0.11561079364107,0.00230207153852442,0.213183169557825,-0.130301950592102,-0.201359342712365
"FT605_Zluteus",-11.2152103669171,1.99607327148907,-1.63307996838912,-0.012825082997366,1.00867388336322,7.79002470148203,-2.78442306104308,-2.56034008911361,0.747857463078315,1.92331562674489,-0.202436587042467,-3.7790606109441,4.0428841698169,-2.36880208780949,6.48779877306973,-0.747119565639897,0.328618762723694,-0.153604405600309,-0.225584593658398,0.526101394907796,-0.0469303790851182,-0.0723690085330279,-0.267773842891452,-0.138967232086524,-0.168286029104118,0.21456620052708,-0.00558142410991588,0.0782333552821363,-0.248645097386695,-0.197534139233695
"MSB325193_Zluteus",-10.6091522559681,1.35855488486895,-1.539290773801,-0.710914311777085,-0.41116344375656,0.00744727732528691,1.45947641663033,13.363888154046,0.376787896422717,-0.616363610242949,0.484307806540514,0.200751477308663,0.248110949941827,-0.603851927283118,1.06188855396313,-0.055755396081845,-0.147047818348601,0.244691934256514,0.0782755092360997,0.261277342898087,0.147938436864613,0.0255419031184856,-0.193500314539787,0.151591737076861,0.410757901207462,-0.00226536863995561,-0.0890238189016488,-0.0446318732682107,-0.0598331154334952,-0.0978155764367978
"FT604_Zluteus",-10.6764843001031,2.07199210411981,-1.64448764829955,-0.402830914523327,1.00275849998286,7.15319527310879,-2.4382182102239,-1.9264449653382,-2.30979265259921,-2.7872148772597,2.18781755890474,7.8447546459086,-1.63214005179056,-3.30484906403794,-1.7886099880765,0.901359106761214,0.155608898619123,0.0601637333215134,-0.0181855277130128,-0.205009225118135,0.631247777271547,-0.0939994034226109,0.0945314210055833,0.0482677190529142,0.31835527619936,-0.126390486028169,0.0937464077157986,0.0108029850484333,0.151844769505169,0.122550421420824
"FT1737FT1735_Zluteus",-10.9670817096259,2.10423120785649,-2.06682838690513,-0.338518947613343,0.652433177754803,7.09578256675652,-2.86676877838483,-0.276242306714791,1.98265847380794,0.315282114158385,-3.05500393619832,-3.41699507506469,-1.76131109543675,5.81675183959898,-5.62375069490673,-0.22689067985476,-0.0744834256561282,0.149147205854858,0.417266181866864,-0.281876693750159,-0.205051325232298,0.164882736922044,0.074055569072894,0.415078929448937,-0.0782197176066491,-0.210271305891947,0.0103128584277008,-0.147344243245382,0.205051295604695,-0.0285901802713907
"MSB325322_Zluteus",4.09913099399626,0.562887147450515,-4.78803436862617,4.56753629620816,-1.33977073792259,-2.72931856996967,-6.56907416875172,0.246953035298415,-0.0949827220119857,0.302482222318926,0.14653561743395,0.308907213293133,0.999151788785694,0.179036662813625,0.301808632122644,0.115829506326235,-0.412899121703979,0.181682785487544,1.71428694598186,-1.43251123031352,-0.124042296454292,-1.23001248578825,1.10964846842697,3.86325137391673,2.69809687543718,3.49017251121228,-0.855874780384872,1.67937833345173,2.01771313254778,-0.191795268656867
"MSB154917_Zluteus",4.30266637686454,0.374829678156691,-4.55625911545757,4.27677235854724,-1.06758076316539,-2.35842743097074,-6.3498077440916,0.375485110302542,0.235883274555616,-0.0862430134122089,-0.373489687649528,0.59396013417278,-0.44745016873726,-0.3366872503535,-0.310981022821629,-1.35768298952114,0.990342061644511,-0.432532459251946,-1.29804502256819,2.26898244220706,-0.642396817987353,1.75939153465756,-0.847095440110639,-0.501806237455834,0.160667505793038,-1.83568525837196,-0.28349971556545,-0.357102521366969,0.077998656217326,-0.106015630253298
